Highland Tinamou,Nothocercus bonapartei
Great Tinamou,Tinamus major
Little Tinamou,Crypturellus soui
Thicket Tinamou,Crypturellus cinnamomeus
Slaty-breasted Tinamou,Crypturellus boucardi
Choco Tinamou,Crypturellus kerriae
White-faced Whistling-Duck,Dendrocygna viduata
Black-bellied Whistling-Duck,Dendrocygna autumnalis
West Indian Whistling-Duck,Dendrocygna arborea
Fulvous Whistling-Duck,Dendrocygna bicolor
Emperor Goose,Anser canagicus
Snow Goose,Anser caerulescens
Ross's Goose,Anser rossii
Graylag Goose,Anser anser
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Taiga Bean-Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris
Pink-footed Goose,Anser brachyrhynchus
Brant,Branta bernicla
Barnacle Goose,Branta leucopsis
Cackling Goose,Branta hutchinsii
Canada Goose,Branta canadensis
Hawaiian Goose,Branta sandvicensis
Mute Swan,Cygnus olor
Trumpeter Swan,Cygnus buccinator
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Comb Duck,Sarkidiornis melanotos
Orinoco Goose,Neochen jubata
Egyptian Goose,Alopochen aegyptiaca
Common Shelduck,Tadorna tadorna
Ruddy Shelduck,Tadorna ferruginea
Muscovy Duck,Cairina moschata
Wood Duck,Aix sponsa
Baikal Teal,Sibirionetta formosa
Garganey,Spatula querquedula
Blue-winged Teal,Spatula discors
Cinnamon Teal,Spatula cyanoptera
Northern Shoveler,Spatula clypeata
Gadwall,Mareca strepera
Falcated Duck,Mareca falcata
Eurasian Wigeon,Mareca penelope
American Wigeon,Mareca americana
Laysan Duck,Anas laysanensis
Hawaiian Duck,Anas wyvilliana
Eastern Spot-billed Duck,Anas zonorhyncha
Mallard,Anas platyrhynchos
American Black Duck,Anas rubripes
Mottled Duck,Anas fulvigula
White-cheeked Pintail,Anas bahamensis
Northern Pintail,Anas acuta
Green-winged Teal,Anas crecca
Canvasback,Aythya valisineria
Redhead,Aythya americana
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Steller's Eider,Polysticta stelleri
Spectacled Eider,Somateria fischeri
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Harlequin Duck,Histrionicus histrionicus
Labrador Duck,Camptorhynchus labradorius
Surf Scoter,Melanitta perspicillata
Velvet Scoter,Melanitta fusca
White-winged Scoter,Melanitta deglandi
Stejneger's Scoter,Melanitta stejnegeri
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Masked Duck,Nomonyx dominicus
Ruddy Duck,Oxyura jamaicensis
Plain Chachalaca,Ortalis vetula
Gray-headed Chachalaca,Ortalis cinereiceps
Rufous-vented Chachalaca,Ortalis ruficauda
Rufous-bellied Chachalaca,Ortalis wagleri
West Mexican Chachalaca,Ortalis poliocephala
White-bellied Chachalaca,Ortalis leucogastra
Crested Guan,Penelope purpurascens
Black Guan,Chamaepetes unicolor
Highland Guan,Penelopina nigra
Horned Guan,Oreophasis derbianus
Great Curassow,Crax rubra
Helmeted Guineafowl,Numida meleagris
Tawny-faced Quail,Rhynchortyx cinctus
Mountain Quail,Oreortyx pictus
Bearded Wood-Partridge,Dendrortyx barbatus
Long-tailed Wood-Partridge,Dendrortyx macroura
Buffy-crowned Wood-Partridge,Dendrortyx leucophrys
Banded Quail,Philortyx fasciatus
Northern Bobwhite,Colinus virginianus
Black-throated Bobwhite,Colinus nigrogularis
Crested Bobwhite,Colinus cristatus
Scaled Quail,Callipepla squamata
Elegant Quail,Callipepla douglasii
California Quail,Callipepla californica
Gambel's Quail,Callipepla gambelii
Montezuma Quail,Cyrtonyx montezumae
Ocellated Quail,Cyrtonyx ocellatus
Singing Quail,Dactylortyx thoracicus
Marbled Wood-Quail,Odontophorus gujanensis
Black-eared Wood-Quail,Odontophorus melanotis
Tacarcuna Wood-Quail,Odontophorus dialeucos
Black-breasted Wood-Quail,Odontophorus leucolaemus
Spotted Wood-Quail,Odontophorus guttatus
Chukar,Alectoris chukar
Gray Francolin,Francolinus pondicerianus
Black Francolin,Francolinus francolinus
Erckel's Francolin,Pternistis erckelii
Himalayan Snowcock,Tetraogallus himalayensis
Gray Partridge,Perdix perdix
Japanese Quail,Coturnix japonica
Red Junglefowl,Gallus gallus
Kalij Pheasant,Lophura leucomelanos
Ring-necked Pheasant,Phasianus colchicus
